,DV_DEVICE_NUMBER,Device Status,DV_DEVICE_STATUS_DESCRIPTION,Device Type,DV_TRAVEL_DISTANCE (in feet),DV_SPEED_FPS,DV_CAPACITY_LBS,DV_FLOOR_FROM,DV_FLOOR_TO,DV_COVERED,,,
230,1P13096,A,ACTIVE,Passenger Elevator (P),13,5.833333333,2200,-1,3,4,,,
231,1P13979,A,ACTIVE,Passenger Elevator (P),13,5.833333333,2000,-1,3,4,,,
232,1P14816,A,ACTIVE,Passenger Elevator (P),13,5.833333333,1500,-1,3,4,,,
233,1P17794,A,ACTIVE,Passenger Elevator (P),13,5.833333333,650,-1,3,4,,,
234,1P19644,A,ACTIVE,Passenger Elevator (P),13,5.833333333,5000,-1,3,4,,,
235,1P19645,A,ACTIVE,Passenger Elevator (P),13,5.833333333,5000,-1,3,4,,,
236,1P19843,A,ACTIVE,Passenger Elevator (P),13,5.833333333,1200,-1,3,4,,,
237,1P2003,A,ACTIVE,Passenger Elevator (P),13,5.833333333,12000,-1,3,4,,,
238,1P20035,A,ACTIVE,Passenger Elevator (P),13,5.833333333,2600,-1,3,4,,,
239,1P25094,A,ACTIVE,Passenger Elevator (P),13,5.833333333,1200,-1,3,4,,,
240,1P25682,A,ACTIVE,Passenger Elevator (P),13,5.833333333,3000,-1,3,4,,,
241,1P19643,A,ACTIVE,Passenger Elevator (P),13,6.666666667,5000,-1,3,4,,,
242,1P19646,A,ACTIVE,Passenger Elevator (P),13,6.666666667,5000,-1,3,4,,,
243,1P19842,A,ACTIVE,Passenger Elevator (P),13,6.666666667,1200,-1,3,4,,,
244,1P2027,A,ACTIVE,Passenger Elevator (P),13,7.5,2500,-1,3,4,,,
245,1P19798,A,ACTIVE,Passenger Elevator (P),13,8.333333333,2500,-1,3,4,,,
246,1P20213,A,ACTIVE,Passenger Elevator (P),13,8.333333333,2500,-1,3,4,,,
247,1P21045,A,ACTIVE,Passenger Elevator (P),13,8.333333333,1200,-1,3,4,,,
248,1P25457,A,ACTIVE,Passenger Elevator (P),13,10,2500,-1,3,4,,,
249,1P20785,A,ACTIVE,Passenger Elevator (P),13,11.66666667,3000,-1,3,4,,,
250,1P20796,A,ACTIVE,Passenger Elevator (P),13,11.66666667,2500,-1,3,4,,,
251,1P21093,A,ACTIVE,Passenger Elevator (P),13,11.66666667,2100,-1,3,4,,,
252,1P21177,A,ACTIVE,Passenger Elevator (P),13,11.66666667,2000,-1,3,4,,,
253,1P22849,A,ACTIVE,Passenger Elevator (P),13,11.66666667,4500,-1,3,4,,,
254,1P21628,A,ACTIVE,Passenger Elevator (P),13,13.33333333,2500,-1,3,4,,,
255,1P1362,A,ACTIVE,Passenger Elevator (P),13,16.66666667,1000,-1,3,4,,,
256,1P2328,A,ACTIVE,Passenger Elevator (P),13,26.66666667,1500,-1,3,4,,,
257,1P11774,A,ACTIVE,Passenger Elevator (P),13,0.116666667,1200,-1,4,5,,,
258,1P10058,A,ACTIVE,Passenger Elevator (P),13,0.5,2000,-1,4,5,,,
259,1P20827,A,ACTIVE,Passenger Elevator (P),13,0.5,4000,-1,4,5,,,
260,1P2542,A,ACTIVE,Passenger Elevator (P),13,0.5,2000,-1,4,5,,,
261,1P21432,A,ACTIVE,Passenger Elevator (P),13,0.6,1000,-1,4,5,,,
262,1P10051,A,ACTIVE,Passenger Elevator (P),13,0.666666667,3250,-1,4,5,,,
263,1P10554,A,ACTIVE,Passenger Elevator (P),13,1.25,2500,-1,4,5,,,
264,1P21407,A,ACTIVE,Passenger Elevator (P),13,1.5,1000,-1,4,5,,,
265,1P10053,A,ACTIVE,Passenger Elevator (P),13,1.583333333,3000,-1,4,5,,,
266,1P10029,A,ACTIVE,Passenger Elevator (P),13,1.666666667,2000,-1,4,5,,,
267,1P10537,A,ACTIVE,Passenger Elevator (P),13,1.666666667,2500,-1,4,5,,,
268,1P11250,A,ACTIVE,Passenger Elevator (P),13,1.666666667,1200,-1,4,5,,,
269,1P11292,A,ACTIVE,Passenger Elevator (P),13,1.666666667,1000,-1,4,5,,,
270,1P11392,A,ACTIVE,Passenger Elevator (P),13,1.666666667,1000,-1,4,5,,,
271,1P11413,A,ACTIVE,Passenger Elevator (P),14,1.666666667,4000,-1,4,5,,,
272,1P12160,A,ACTIVE,Passenger Elevator (P),14,1.666666667,1800,-1,4,5,,,
273,1P12282,A,ACTIVE,Passenger Elevator (P),14,1.666666667,2000,-1,4,5,,,
274,1P21550,A,ACTIVE,Passenger Elevator (P),14,1.666666667,2000,-1,4,5,,,
275,1P22557,A,ACTIVE,Passenger Elevator (P),14,1.666666667,3500,-1,4,5,,,
276,1P22558,A,ACTIVE,Passenger Elevator (P),14,1.666666667,2500,-1,4,5,,,
277,1P22887,A,ACTIVE,Passenger Elevator (P),14,1.666666667,2000,-1,4,5,,,
278,1P23812,A,ACTIVE,Passenger Elevator (P),14,1.666666667,2000,-1,4,5,,,
